"STRING_id","Degree_like","SYMBOL"
"9606.ENSP00000362680",40,"SRC"
"9606.ENSP00000335153",38,"HSP90AA1"
"9606.ENSP00000275493",36,"EGFR"
"9606.ENSP00000478570",34,"VEGFA"
"9606.ENSP00000405330",28,"ESR1"
"9606.ENSP00000263967",24,"PIK3CA"
"9606.ENSP00000437955",24,"HIF1A"
"9606.ENSP00000263923",20,"KDR"
"9606.ENSP00000354558",20,"MTOR"
"9606.ENSP00000219070",18,"MMP2"
"9606.ENSP00000361405",18,"MMP9"
"9606.ENSP00000229795",16,"MAPK14"
"9606.ENSP00000282397",16,"FLT1"
"9606.ENSP00000287820",16,"PPARG"
"9606.ENSP00000317272",14,"MET"
"9606.ENSP00000354394",14,"STAT1"
"9606.ENSP00000451040",14,"PGF"
"9606.ENSP00000284981",12,"APP"
"9606.ENSP00000343925",12,"ESR2"
"9606.ENSP00000361423",10,"ABL1"
"9606.ENSP00000308208",8,"MMP14"
"9606.ENSP00000309572",8,"TERT"
"9606.ENSP00000322788",8,"MMP1"
"9606.ENSP00000352121",8,"PIK3CG"
"9606.ENSP00000358513",8,"CNR1"
"9606.ENSP00000360608",8,"GRIN1"
"9606.ENSP00000383364",8,"PLA2G2A"
"9606.ENSP00000393312",8,"FGFR1"
"9606.ENSP00000223095",6,"SERPINE1"
"9606.ENSP00000306138",6,"GRM5"
"9606.ENSP00000379683",6,"CYP19A1"
"9606.ENSP00000385523",6,"PPARA"
"9606.ENSP00000419692",6,"RXRA"
"9606.ENSP00000458832",6,"ALOX15"
"9606.ENSP00000262186",4,"KCNH2"
"9606.ENSP00000274793",4,"PLA2G7"
"9606.ENSP00000354612",4,"PTGS1"
"9606.ENSP00000367608",4,"CA9"
"9606.ENSP00000369816",4,"SHBG"
"9606.ENSP00000381185",4,"BCL2"
"9606.ENSP00000477999",4,"NOS1"
"9606.ENSP00000237612",2,"ABCG2"
"9606.ENSP00000260227",2,"MMP7"
"9606.ENSP00000260302",2,"MMP13"
"9606.ENSP00000303211",2,"ACHE"
"9606.ENSP00000316244",2,"HTR1A"
"9606.ENSP00000363596",2,"CNR2"
"9606.ENSP00000364709",2,"F10"
"9606.ENSP00000458585",2,"MMP12"
