"from","to","interaction","term_type"
"MMP9","KEGG | Prostate cancer","target-pathway","KEGG"
"PIK3CA","KEGG | Prostate cancer","target-pathway","KEGG"
"RAF1","KEGG | Prostate cancer","target-pathway","KEGG"
"PDGFRA","KEGG | Prostate cancer","target-pathway","KEGG"
"CDK2","KEGG | Prostate cancer","target-pathway","KEGG"
"HSP90AA1","KEGG | Prostate cancer","target-pathway","KEGG"
"MMP9","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MMP1","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MMP2","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"PIK3CA","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"RAF1","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | Relaxin signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MMP1","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAP3K7","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"HSP90AA1","KEGG | IL-17 signaling pathway","target-pathway","KEGG"
"TRPV1","KEGG | Neuroactive ligand-receptor interaction","target-pathway","KEGG"
"P2RX7","KEGG | Neuroactive ligand-receptor interaction","target-pathway","KEGG"
"C3AR1","KEGG | Neuroactive ligand-receptor interaction","target-pathway","KEGG"
"PIK3CA","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"RAF1","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"CDK2","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"MAPK8","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"PDE3B","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"HSP90AA1","KEGG | Progesterone-mediated oocyte maturation","target-pathway","KEGG"
"PIK3CA","KEGG | Sphingolipid signaling pathway","target-pathway","KEGG"
"RAF1","KEGG | Sphingolipid signaling pathway","target-pathway","KEGG"
"ROCK1","KEGG | Sphingolipid signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | Sphingolipid signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | Bladder cancer","target-pathway","KEGG"
"MMP1","KEGG | Bladder cancer","target-pathway","KEGG"
"MMP2","KEGG | Bladder cancer","target-pathway","KEGG"
"RAF1","KEGG | Bladder cancer","target-pathway","KEGG"
"PIK3CA","KEGG | Insulin signaling pathway","target-pathway","KEGG"
"RAF1","KEGG | Insulin signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | Insulin signaling pathway","target-pathway","KEGG"
"PDE3B","KEGG | Insulin signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"MMP2","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"PIK3CA","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"MAP3K7","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"MAPK8","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"HSP90AA1","KEGG | Fluid shear stress and atherosclerosis","target-pathway","KEGG"
"PIK3CA","KEGG | cAMP signaling pathway","target-pathway","KEGG"
"RAF1","KEGG | cAMP signaling pathway","target-pathway","KEGG"
"ROCK1","KEGG | cAMP signaling pathway","target-pathway","KEGG"
"MAPK8","KEGG | cAMP signaling pathway","target-pathway","KEGG"
"PDE3B","KEGG | cAMP signaling pathway","target-pathway","KEGG"
"MMP9","KEGG | Endocrine resistance","target-pathway","KEGG"
"MMP2","KEGG | Endocrine resistance","target-pathway","KEGG"
"PIK3CA","KEGG | Endocrine resistance","target-pathway","KEGG"
"RAF1","KEGG | Endocrine resistance","target-pathway","KEGG"
"MAPK8","KEGG | Endocrine resistance","target-pathway","KEGG"
"PIK3CA","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"TRPV1","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"MAPK8","KEGG | Inflammatory mediator regulation of TRP channels","target-pathway","KEGG"
"MMP9","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP1","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP2","Reactome | Collagen degradation","target-pathway","Reactome"
"ADAM17","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP12","Reactome | Collagen degradation","target-pathway","Reactome"
"MMP9","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"MMP1","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"MMP2","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"RORC","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"HSP90AA1","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"PIM1","Reactome | Interleukin-4 and Interleukin-13 signaling","target-pathway","Reactome"
"MMP9","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"MMP1","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"MMP2","Reactome | Activation of Matrix Metalloproteinases","target-pathway","Reactome"
"MMP9","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MMP1","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MMP2","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"PIK3CA","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"APP","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MAP3K7","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"RORC","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MAPK8","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"HSP90AA1","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"PIM1","Reactome | Signaling by Interleukins","target-pathway","Reactome"
"MMP9","Reactome | Extra-nuclear estrogen signaling","target-pathway","Reactome"
"MMP2","Reactome | Extra-nuclear estrogen signaling","target-pathway","Reactome"
"PIK3CA","Reactome | Extra-nuclear estrogen signaling","target-pathway","Reactome"
